JANELA,MONEYNESS_ALVO,STOP_CALIBRADO,CENARIO,DIAS,DTE_D0,DTE_RESTANTE,RETORNO_SPOT,N_CONTRATOS,CUSTO_OPCAO,PNL_OPCAO,PNL_SPOT,RET_OPCAO,RET_SPOT,VANTAGEM
Jan→Abr (alta gradual),0.02,0.15,III,15.0,106.96,91.96,0.011877853007351964,1.2541290520076391,19257.1515935773,2926.306971961145,1187.7853007351964,0.02926306971961145,0.011877853007351964,0.017385216712259486
Jan→Abr (alta gradual),0.02,0.15,I,30.0,106.96,76.96,0.07341068513698343,1.2541290520076391,19257.1515935773,17212.92123880484,7341.068513698343,0.1721292123880484,0.07341068513698343,0.09871852725106497
Jan→Abr (alta gradual),0.02,0.15,II,30.0,106.96,76.96,0.07341068513698343,1.2541290520076391,19257.1515935773,22153.7306403102,7341.068513698343,0.221537306403102,0.07341068513698343,0.14812662126611859
Jan→Abr (alta gradual),0.02,0.15,III,30.0,106.96,76.96,0.07341068513698343,1.2541290520076391,19257.1515935773,22277.749540984725,7341.068513698343,0.22277749540984726,0.07341068513698343,0.14936681027286383
Jan→Abr (alta gradual),0.02,0.15,I,45.0,106.96,58.96,0.03741640477605441,1.2541290520076391,19257.1515935773,3593.0797340018835,3741.640477605441,0.03593079734001883,0.03741640477605441,-0.0014856074360355752
Jan→Abr (alta gradual),0.02,0.15,II,45.0,106.96,58.96,0.03741640477605441,1.2541290520076391,19257.1515935773,10075.078962937761,3741.640477605441,0.10075078962937761,0.03741640477605441,0.06333438485332321
Jan→Abr (alta gradual),0.02,0.15,III,45.0,106.96,58.96,0.03741640477605441,1.2541290520076391,19257.1515935773,10107.296581326273,3741.640477605441,0.10107296581326272,0.03741640477605441,0.06365656103720832
Jan→Abr (alta gradual),0.02,0.15,I,60.0,106.96,45.96,0.050622957966881155,1.2541290520076391,19257.1515935773,4295.392003126164,5062.295796688116,0.04295392003126164,0.050622957966881155,-0.007669037935619517
Jan→Abr (alta gradual),0.02,0.15,II,60.0,106.96,45.96,0.050622957966881155,1.2541290520076391,19257.1515935773,14235.013887078125,5062.295796688116,0.14235013887078124,0.050622957966881155,0.09172718090390009
Jan→Abr (alta gradual),0.02,0.15,III,60.0,106.96,45.96,0.050622957966881155,1.2541290520076391,19257.1515935773,14293.988399451575,5062.295796688116,0.14293988399451574,0.050622957966881155,0.09231692602763458
Jan→Abr (alta gradual),0.02,0.15,I,75.0,106.96,32.0,0.025530766416064846,1.2541290520076391,19257.1515935773,-4470.970070407234,2553.0766416064844,-0.04470970070407234,0.025530766416064846,-0.07024046712013718
Jan→Abr (alta gradual),0.02,0.15,II,75.0,106.96,32.0,0.025530766416064846,1.2541290520076391,19257.1515935773,6600.577973577904,2553.0766416064844,0.06600577973577904,0.025530766416064846,0.0404750133197142
Jan→Abr (alta gradual),0.02,0.15,III,75.0,106.96,32.0,0.025530766416064846,1.2541290520076391,19257.1515935773,6615.578172801993,2553.0766416064844,0.06615578172801993,0.025530766416064846,0.04062501531195509
Jan→Abr (alta gradual),0.02,0.15,I,90.0,106.96,17.0,0.0642966323159607,1.2541290520076391,19257.1515935773,4270.309422086008,6429.66323159607,0.042703094220860084,0.0642966323159607,-0.02159353809510061
Jan→Abr (alta gradual),0.02,0.15,II,90.0,106.96,17.0,0.0642966323159607,1.2541290520076391,19257.1515935773,18874.049172142408,6429.66323159607,0.18874049172142407,0.0642966323159607,0.12444385940546338
Jan→Abr (alta gradual),0.02,0.15,III,90.0,106.96,17.0,0.0642966323159607,1.2541290520076391,19257.1515935773,18969.18536663862,6429.66323159607,0.1896918536663862,0.0642966323159607,0.1253952213504255
Jan→Abr (alta gradual),0.05,0.05,I,0.0,106.96,106.96,0.0,0.9303654344310839,9085.018467219534,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.05,0.05,II,0.0,106.96,106.96,0.0,0.9303654344310839,9085.018467219534,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.05,0.05,III,0.0,106.96,106.96,0.0,0.9303654344310839,9085.018467219534,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.05,0.05,I,15.0,106.96,91.96,0.011877853007351964,0.9303654344310839,9085.018467219534,-869.8916811930642,1187.7853007351964,-0.008698916811930642,0.011877853007351964,-0.02057676981928261
Jan→Abr (alta gradual),0.05,0.05,II,15.0,106.96,91.96,0.011877853007351964,0.9303654344310839,9085.018467219534,1680.2265453622283,1187.7853007351964,0.016802265453622282,0.011877853007351964,0.004924412446270319
Jan→Abr (alta gradual),0.05,0.05,III,15.0,106.96,91.96,0.011877853007351964,0.9303654344310839,9085.018467219534,1685.8432446840602,1187.7853007351964,0.016858432446840602,0.011877853007351964,0.004980579439488638
Jan→Abr (alta gradual),0.05,0.05,I,30.0,106.96,76.96,0.07341068513698343,0.9303654344310839,9085.018467219534,9494.37925836921,7341.068513698343,0.09494379258369211,0.07341068513698343,0.021533107446708673
Jan→Abr (alta gradual),0.05,0.05,II,30.0,106.96,76.96,0.07341068513698343,0.9303654344310839,9085.018467219534,13411.132626005581,7341.068513698343,0.1341113262600558,0.07341068513698343,0.060700641123072385
Jan→Abr (alta gradual),0.05,0.05,III,30.0,106.96,76.96,0.07341068513698343,0.9303654344310839,9085.018467219534,14332.745489943989,7341.068513698343,0.14332745489943988,0.07341068513698343,0.06991676976245646
Jan→Abr (alta gradual),0.05,0.05,I,45.0,106.96,58.96,0.03741640477605441,0.9303654344310839,9085.018467219534,986.1873604969484,3741.640477605441,0.009861873604969484,0.03741640477605441,-0.027554531171084928
Jan→Abr (alta gradual),0.05,0.05,II,45.0,106.96,58.96,0.03741640477605441,0.9303654344310839,9085.018467219534,5933.1140293778835,3741.640477605441,0.05933114029377883,0.03741640477605441,0.021914735517724427
Jan→Abr (alta gradual),0.05,0.05,III,45.0,106.96,58.96,0.03741640477605441,0.9303654344310839,9085.018467219534,6108.685320039999,3741.640477605441,0.06108685320039999,0.03741640477605441,0.023670448424345583
Jan→Abr (alta gradual),0.05,0.05,I,60.0,106.96,45.96,0.050622957966881155,0.9303654344310839,9085.018467219534,907.1062985703068,5062.295796688116,0.009071062985703067,0.050622957966881155,-0.041551894981178096
Jan→Abr (alta gradual),0.05,0.05,II,60.0,106.96,45.96,0.050622957966881155,0.9303654344310839,9085.018467219534,8475.213650796079,5062.295796688116,0.08475213650796079,0.050622957966881155,0.03412917854107963
Jan→Abr (alta gradual),0.05,0.05,III,60.0,106.96,45.96,0.050622957966881155,0.9303654344310839,9085.018467219534,8910.03402963927,5062.295796688116,0.0891003402963927,0.050622957966881155,0.03847738232951154
Jan→Abr (alta gradual),0.05,0.05,I,75.0,106.96,32.0,0.025530766416064846,0.9303654344310839,9085.018467219534,-4186.6444549398775,2553.0766416064844,-0.04186644454939877,0.025530766416064846,-0.06739721096546362
Jan→Abr (alta gradual),0.05,0.05,II,75.0,106.96,32.0,0.025530766416064846,0.9303654344310839,9085.018467219534,3845.095882235938,2553.0766416064844,0.03845095882235938,0.025530766416064846,0.012920192406294537
Jan→Abr (alta gradual),0.05,0.05,III,75.0,106.96,32.0,0.025530766416064846,0.9303654344310839,9085.018467219534,3900.873362709963,2553.0766416064844,0.03900873362709963,0.025530766416064846,0.013477967211034789
Jan→Abr (alta gradual),0.05,0.05,I,90.0,106.96,17.0,0.0642966323159607,0.9303654344310839,9085.018467219534,-707.0777301676233,6429.66323159607,-0.007070777301676233,0.0642966323159607,-0.07136740961763693
Jan→Abr (alta gradual),0.05,0.05,II,90.0,106.96,17.0,0.0642966323159607,0.9303654344310839,9085.018467219534,11353.491508708821,6429.66323159607,0.11353491508708821,0.0642966323159607,0.04923828277112752
Jan→Abr (alta gradual),0.05,0.05,III,90.0,106.96,17.0,0.0642966323159607,0.9303654344310839,9085.018467219534,12060.470365939309,6429.66323159607,0.12060470365939309,0.0642966323159607,0.056308071343432395
Jan→Abr (alta gradual),0.05,0.1,I,0.0,106.96,106.96,0.0,1.3990562086206366,13661.783877180516,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.05,0.1,II,0.0,106.96,106.96,0.0,1.3990562086206366,13661.783877180516,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.05,0.1,III,0.0,106.96,106.96,0.0,1.3990562086206366,13661.783877180516,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.05,0.1,I,15.0,106.96,91.96,0.011877853007351964,1.3990562086206366,13661.783877180516,-1308.1175550602964,1187.7853007351964,-0.013081175550602963,0.011877853007351964,-0.024959028557954926
Jan→Abr (alta gradual),0.05,0.1,II,15.0,106.96,91.96,0.011877853007351964,1.3990562086206366,13661.783877180516,2526.6753183018836,1187.7853007351964,0.025266753183018836,0.011877853007351964,0.013388900175666872
Jan→Abr (alta gradual),0.05,0.1,III,15.0,106.96,91.96,0.011877853007351964,1.3990562086206366,13661.783877180516,2535.1215457382777,1187.7853007351964,0.025351215457382777,0.011877853007351964,0.013473362450030814
Jan→Abr (alta gradual),0.05,0.1,I,30.0,106.96,76.96,0.07341068513698343,1.3990562086206366,13661.783877180516,14277.368608973595,7341.068513698343,0.14277368608973595,0.07341068513698343,0.06936300095275252
Jan→Abr (alta gradual),0.05,0.1,II,30.0,106.96,76.96,0.07341068513698343,1.3990562086206366,13661.783877180516,20167.26725936607,7341.068513698343,0.20167267259366073,0.07341068513698343,0.1282619874566773
Jan→Abr (alta gradual),0.05,0.1,III,30.0,106.96,76.96,0.07341068513698343,1.3990562086206366,13661.783877180516,21553.161609607203,7341.068513698343,0.21553161609607202,0.07341068513698343,0.1421209309590886
Jan→Abr (alta gradual),0.05,0.1,I,45.0,106.96,58.96,0.03741640477605441,1.3990562086206366,13661.783877180516,1482.999581137874,3741.640477605441,0.01482999581137874,0.03741640477605441,-0.02258640896467567
Jan→Abr (alta gradual),0.05,0.1,II,45.0,106.96,58.96,0.03741640477605441,1.3990562086206366,13661.783877180516,8922.042578173838,3741.640477605441,0.08922042578173837,0.03741640477605441,0.05180402100568397
Jan→Abr (alta gradual),0.05,0.1,III,45.0,106.96,58.96,0.03741640477605441,1.3990562086206366,13661.783877180516,9186.061527251171,3741.640477605441,0.09186061527251171,0.03741640477605441,0.054444210496457306
Jan→Abr (alta gradual),0.05,0.1,I,60.0,106.96,45.96,0.050622957966881155,1.3990562086206366,13661.783877180516,1364.0798034051206,5062.295796688116,0.013640798034051207,0.050622957966881155,-0.03698215993282995
Jan→Abr (alta gradual),0.05,0.1,II,60.0,106.96,45.96,0.050622957966881155,1.3990562086206366,13661.783877180516,12744.777308696272,5062.295796688116,0.12744777308696273,0.050622957966881155,0.07682481512008156
